flag,pval,slope,r2,area,neuron_label
0,0.091,0.0106284212832959,0.577177233623066,12r,M021519_003_2
0,0.521,-0.00544974240951311,0.259347735672084,11ml,M021519_004_3
1,0,-0.00313702269681607,0.897949607600052,11ml,M021519_005_2
0,0.055,-0.00514945509724336,0.484403180823068,11ml,M021519_006_3
1,0,-0.00267736130008942,0.729929279145444,46v,M021519_011_1
1,0,-0.00625258015551105,0.822666648600625,11ml,M021519_014_2
0,0.732,-0.00208314510918745,0.128311813442178,11ml,M021519_016_3
0,0.799,-0.000922767445076348,0.0251399966848098,11ml,M021519_024_2
1,0,0.00325342922614494,0.821399369112401,11ml,M021519_025_4
1,0,0.0161887516250174,0.893409663838913,11ml,M021519_032_3
1,0,0.00798948011992559,0.833199781132576,11ml,M021519_032_5
0,0.565,0.00590262679505203,0.26541903071787,12o,M021519_035_3
1,0,-0.00379255344418897,0.864670528617294,12o,M021519_036_2
1,0,-0.00578630224642991,0.777190503193016,13m,M021519_044_3
1,0,-0.00932880175526407,0.935076994153625,12o,M021519_045_1
0,0.562,-0.000542963026713257,0.188423492978499,13l,M021519_049_1
1,0,-0.0111782330243223,0.75997700905784,13m,M021519_054_3
1,0,0.00710556284691812,0.480582224453239,12o,M021519_055_3
1,0,-0.00172377318162546,0.76149130112972,13l,M021519_060_2
0,0.219,-0.00387110562395382,0.321109919416032,13m,M021519_064_3
1,0,0.00213918012602093,0.680047804078145,45,M021519_066_1
1,0,-0.00685050100285794,0.698110065073362,45,M021519_066_3
1,0,0.00326431508543436,0.825669264312331,45,M021519_066_7
0,0.949,-0.000132639205693684,0.00238186136586771,12o,M021519_069_1
1,0,0.00732142536501713,0.838411423957637,AI,M021519_079_3
0,0.065,0.00051280824027913,0.219039881235876,AI,M021519_091_2
0,0.77,-0.00104016567619306,0.017214582869994,pu,M021519_099_1
0,0.606,0.00307122604366542,0.224672648167542,pu,M021519_099_5
1,0,-0.00552628535066645,0.791044883481922,pu,M021519_099_7
1,0,0.00300163135577402,0.600553678424146,pu,M021519_100_3
0,0.054,-0.00281360710020318,0.637785507422891,AMG,M021519_105_3
1,0,0.0044932289046671,0.59571731195095,pu,M021519_112_3
0,0.757,-0.000987257389371855,0.0442161579743244,cd,M021519_113_4
0,0.848,0.000338372989316112,0.0270035912864961,AMG,M021519_116_1
1,0,0.0026179140519392,0.827128022464135,AMG,M021519_118_3
0,0.842,0.00489810277151866,0.0461531798434673,cd,M021519_123_3
0,0.855,-0.00152715351965524,0.0151682076192476,cd,M021519_123_6
0,0.022,-0.00533815637969338,0.718808408069297,AMG,M021519_128_1
1,0,0.00641155520478489,0.636136218674374,AMG,M021519_129_3
1,0,0.00312063763656544,0.86860030028414,AMG,M021519_129_4
1,0,0.01215836062343,0.640354306709077,pu,M021519_139_3
1,0,-0.00383484334157809,0.644495009256307,AMG,M021519_140_1
0,0.032,0.00350547496075882,0.646045770651302,pu,M021519_144_3
1,0,0.00086473273777299,0.722683660548876,46v,M022219_011_3
1,0,0.000810961682398465,0.869184052990624,12m,M022219_018_2
0,0.89,-0.000135661078751026,0.00289102086574311,11ml,M022219_025_3
1,0,0.00297924844403876,0.382899292868017,11ml,M022219_032_2
0,0.005,-0.00527410281721937,0.772535849938093,11ml,M022219_032_3
0,0.874,0.000807548971979397,0.0062644495823404,13m,M022219_054_3
0,0.958,-0.000117549924933409,0.00339093349251518,13l,M022219_060_3
1,0,0.00937933551553912,0.625017129333382,13m,M022219_064_3
0,0.089,0.0136077306854291,0.667855941564499,12o,M022219_067_3
0,0.947,-2.49942215825379e-05,3.51788558654587e-05,12o,M022219_068_3
0,0.12,0.00255288618803989,0.324143628038437,12o,M022219_069_2
1,0,-0.00486591565316448,0.692081515113312,12o,M022219_069_3
1,0,-0.00474754768370679,0.885261321853894,13l,M022219_071_1
0,0.063,0.00945560211306497,0.629754057852211,13m,M022219_085_3
1,0,-0.00425252939455758,0.33536635219488,pu,M022219_099_1
0,0.906,-0.00116193059973311,0.0219846953198011,pu,M022219_100_2
0,0.179,-0.00155048815860767,0.354677615593729,AI,M022219_109_3
0,0.722,-0.00578910342405501,0.151767661263575,AMG,M022219_115_3
1,0,-0.00523024855632801,0.952271903363264,AMG,M022219_116_2
1,0,-4.00752602953482e-08,0.0319526108675696,AMG,M022219_118_3
1,0,-0.00495942067894398,0.925490769361273,AMG,M022219_119_2
0,0.847,0.000792048351438194,0.024371447458629,cd,M022219_123_2
0,0.619,-0.00558701481758643,0.168335730616601,AMG,M022219_128_2
1,0,-0.00275411148113647,0.563782674077536,AMG,M022219_140_1
0,0.204,-0.00498382906841878,0.307576848941088,AMG,M022219_140_4
1,0,0.00707552854435304,0.886575373241775,cd,M022219_146_3
1,0,-0.00758235017982786,0.990004962179459,11ml,M022819_005_2
0,0.898,-0.000773402420359841,0.00864089542000468,11ml,M022819_014_3
1,0,0.0027475156841602,0.901628111249922,12m,M022819_018_3
0,0.072,0.00616290084682796,0.561860489418659,12m,M022819_019_2
0,0.682,0.00171170860261652,0.108512233570654,11ml,M022819_032_3
1,0,-0.00756657313008224,0.828054870590878,13l,M022819_050_2
1,0,0.0096328962688498,0.687734825873848,12o,M022819_068_3
1,0,-0.00349208231115371,0.51026195524966,12o,M022819_069_3
1,0,-0.0039214389250615,0.896932939459986,45,M022819_077_3
0,0.156,-0.000366229928908121,0.0726046303603247,45,M022819_077_4
1,0,0.00116322614147494,0.964492522342913,45,M022819_077_5
0,0.575,-0.00269482871658265,0.128353929924938,AI,M022819_078_2
0,0.117,-0.00327148373972136,0.416479370764663,AI,M022819_078_5
0,0.352,0.00338346911816564,0.442481196843242,AI,M022819_078_6
1,0,-0.00142397301621557,0.618332046974289,AI,M022819_078_7
1,0,0.0132816829127103,0.809907206339596,cd,M022819_088_3
1,0,-0.00315265690937595,0.833446766058113,AMG,M022819_104_3
1,0,-0.000383029782769993,0.0911498245655374,pu,M022819_117_3
0,0.151,-0.00642596895595142,0.475209548390876,AMG,M022819_118_3
1,0,-0.0060832649018477,0.607634341670495,AMG,M022819_119_3
0,0.485,0.00519054383446539,0.295000435132788,cd,M022819_124_3
0,0.36,0.00782952439846064,0.356788015685941,AMG,M022819_129_1
1,0,0.00510386980766058,0.85420901682641,pu,M022819_139_3
0,0.155,0.00157556592392434,0.319807258705327,pu,M022819_139_4
1,0,-0.00220996560652854,0.66791728977134,AMG,M022819_140_3
0,0.233,0.00285614126555577,0.309044541115159,12r,M030118_002_2
0,0.27,0.00540111531510874,0.387717607830915,12r,M030118_003_1
1,0,0.00268652470124427,0.526474900079818,12r,M030118_003_3
0,0.119,-0.00238417820813263,0.365456233598988,12r,M030118_004_2
1,0,-0.00266866880651446,0.898935114492319,11ml,M030118_005_2
0,0.865,-0.00121221302959041,0.0283921444790378,11ml,M030118_005_6
1,0,0.00516871702109598,0.671668105090268,11ml,M030118_006_2
1,0,0.00680271952775231,0.45675812707176,12r,M030118_010_2
0,0.885,0.000268339676027834,0.0117050247527555,12r,M030118_010_3
1,0,-0.00462464385856316,0.580560916679186,46v,M030118_011_1
0,0.057,-0.00390034334428707,0.457968385570615,12r,M030118_012_2
