neuron_i,neuron_label,area,ramp_type,condition,slope,mean_fr
2,M021519_005_2,11ml,Positive,short,0.005434203387073667,0.5125370323224095
2,M021519_005_2,11ml,Positive,medium,0.005096895549307877,0.24204849562771966
2,M021519_005_2,11ml,Positive,long,0.006874729398392113,0.5699443762653977
8,M021519_025_4,11ml,Negative,short,-0.0025246649269879333,0.8216470635981111
8,M021519_025_4,11ml,Negative,medium,-0.004207461348213434,0.6477051709992455
8,M021519_025_4,11ml,Negative,long,-0.002659922698994033,-1.3140454481227228
12,M021519_036_2,12o,Positive,short,0.0018508295343282709,0.19095955204881865
12,M021519_036_2,12o,Positive,medium,0.002562908133275164,1.1832404495178166
12,M021519_036_2,12o,Positive,long,8.001404256274753e-05,2.2643294015065605
20,M021519_066_1,45,Negative,short,-0.0017641276600536434,0.5051195287447754
20,M021519_066_1,45,Negative,medium,-0.0012729893568763073,-0.2831415097238287
20,M021519_066_1,45,Negative,long,-0.00032915923695078623,-0.6543361180386011
22,M021519_066_7,45,Negative,short,-0.001151823436224001,-0.5937893227759297
22,M021519_066_7,45,Negative,medium,-0.000439968214224237,-1.131635796111356
22,M021519_066_7,45,Negative,long,-0.0003450982262682676,-1.1743261585021376
23,M021519_069_1,12o,Negative,short,-0.0015924090711506428,0.413148797691938
23,M021519_069_1,12o,Negative,medium,-0.002359616475701012,0.48508012568858605
23,M021519_069_1,12o,Negative,long,-0.0007882293451430395,0.28508037521037816
25,M021519_091_2,AI,Positive,short,0.0015401190714949724,-1.194899598096254
25,M021519_091_2,AI,Positive,medium,0.0037712408429319637,-0.7910794202383986
25,M021519_091_2,AI,Positive,long,0.002980835335369828,0.25924053973229305
37,M021519_128_1,AMG,Positive,short,0.002530363407441439,-0.45928028016680456
37,M021519_128_1,AMG,Positive,medium,0.003164299258865292,0.06076978997462205
37,M021519_128_1,AMG,Positive,long,0.004051479980521215,-0.019250465603467826
45,M022219_025_3,11ml,Negative,short,-0.0024893561003154928,0.8477570367839494
45,M022219_025_3,11ml,Negative,medium,-0.004552609050832658,0.26989450301671286
45,M022219_025_3,11ml,Negative,long,-0.00397386541443828,-0.4582108097838954
49,M022219_060_3,13l,Positive,short,0.0026570636732329385,0.6348957067641031
49,M022219_060_3,13l,Positive,medium,0.0016284082211067356,1.4973666075858816
