flag,pval,slope,r2,area,neuron_label
1,0,-0.00382080305607879,0.640757359023701,12r,M021519_003_2
0,0.352,0.000644618047286451,0.0511878199429432,11ml,M021519_004_3
1,0,0.00444455349838449,0.826527386663987,11ml,M021519_005_2
0,0.134,0.000828535861824088,0.407429326083685,11ml,M021519_006_3
0,0.97,-2.97189311675168e-05,0.000933486072280831,46v,M021519_011_1
0,0.023,0.0024906137520521,0.458916273192234,11ml,M021519_014_2
0,0.101,0.000881410652664307,0.15530904509656,11ml,M021519_016_3
0,0.383,-0.000786319328455656,0.187619573915202,11ml,M021519_024_2
1,0,-0.00329473001627015,0.905428877564256,11ml,M021519_025_4
0,0.329,-0.000929648930107442,0.309837143445678,11ml,M021519_032_3
0,0.913,0.000242877159800665,0.0186113781326719,11ml,M021519_032_5
0,0.74,0.000469407753021538,0.0479157692769595,12o,M021519_035_3
1,0,0.00250743453852229,0.844063582342328,12o,M021519_036_2
0,0.903,-7.83537556557041e-05,0.00934635355895552,13m,M021519_044_3
0,0.177,-0.000183130597185539,0.0271966154652354,12o,M021519_045_1
0,0.489,-0.000828282424769736,0.28065574407507,13l,M021519_049_1
1,0,0.00156331902148377,0.341459107680932,13m,M021519_054_3
0,0.676,-0.000502855957767877,0.0112732586970093,12o,M021519_055_3
1,0,0.00117156046252324,0.601217274338988,13l,M021519_060_2
0,0.892,8.91051041167159e-05,0.00165251965407287,13m,M021519_064_3
1,0,-0.0013266224064854,0.860959956913144,45,M021519_066_1
0,0.102,-0.000667157212456263,0.283833426968774,45,M021519_066_3
1,0,-0.00091793413740892,0.861692438053761,45,M021519_066_7
1,0,-0.00163510919560557,0.830048980176739,12o,M021519_069_1
0,0.703,0.000886847201325901,0.063524238400123,AI,M021519_079_3
1,0,0.00240757923056791,0.91017364835361,AI,M021519_091_2
0,0.268,0.000715694970903827,0.0309461683314809,pu,M021519_099_1
1,0,-0.00150167996036618,0.268515383219732,pu,M021519_099_5
0,0.586,-0.0010063801524242,0.0696168888833787,pu,M021519_099_7
1,0,0.00114393725982978,0.388393435151158,pu,M021519_100_3
0,0.97,-0.000170915824504077,0.00202798378870395,AMG,M021519_105_3
0,0.26,-0.00120247322907458,0.11686050309821,pu,M021519_112_3
0,0.759,0.000278328525338806,0.00851967467493175,cd,M021519_113_4
1,0,0.00185449404055743,0.61370353766261,AMG,M021519_116_1
0,0.452,-0.000438259200457353,0.164541431693406,AMG,M021519_118_3
0,0.203,-0.000569171808176974,0.0524632227351185,cd,M021519_123_3
0,0.601,0.000249415244921624,0.0161929011326428,cd,M021519_123_6
1,0,0.00268233244481042,0.814702024011509,AMG,M021519_128_1
0,0.938,-0.000218771972025744,0.00459479682068809,AMG,M021519_129_3
0,0.327,-0.000168479629287388,0.0393857763921042,AMG,M021519_129_4
0,0.522,-0.000380139779555734,0.0326388346842249,pu,M021519_139_3
0,0.024,0.000663438253886748,0.320519909227856,AMG,M021519_140_1
0,0.155,-0.00161715052485548,0.47262404519192,pu,M021519_144_3
0,0.817,-0.000108876724343847,0.0419788114166901,46v,M022219_011_3
0,0.085,-0.000163567369762729,0.346540235315482,12m,M022219_018_2
1,0,-0.00391624552562246,0.894650006292882,11ml,M022219_025_3
1,0,0.00106510100397912,0.318089159322217,11ml,M022219_032_2
0,0.209,-0.00135240008406298,0.191657524783241,11ml,M022219_032_3
0,0.666,-0.000497478249685194,0.0370162452008868,13m,M022219_054_3
1,0,0.00202261622674028,0.85080582836255,13l,M022219_060_3
0,0.546,-0.000682077167095543,0.100410815271634,13m,M022219_064_3
1,0,0.00193158105694936,0.458154727738406,12o,M022219_067_3
0,0.341,-0.00100007372302205,0.290501374032969,12o,M022219_068_3
0,0.582,-0.000481112903608803,0.0577733731989624,12o,M022219_069_2
0,0.46,-0.00030091534807049,0.0575314495448542,12o,M022219_069_3
0,0.097,0.00115904116999729,0.267468670824847,13l,M022219_071_1
0,0.959,0.000185397198741713,0.00206166890908388,13m,M022219_085_3
1,0,-0.00306538612615668,0.490586669061973,pu,M022219_099_1
0,0.424,-0.000809175869825146,0.090679436007535,pu,M022219_100_2
0,0.642,0.00059673178489479,0.0861317723805247,AI,M022219_109_3
0,0.763,0.000117388132980664,0.00347167024493222,AMG,M022219_115_3
0,0.185,0.000590771619188656,0.227565274346713,AMG,M022219_116_2
1,0,-0.00267213245662127,0.677843124260329,AMG,M022219_118_3
1,0,0.00236008825608126,0.937952065662251,AMG,M022219_119_2
1,0,-0.00244918458652157,0.776148328425011,cd,M022219_123_2
0,0.019,0.00199819210780831,0.439084508703888,AMG,M022219_128_2
0,0.231,0.000544190194966036,0.18572631090331,AMG,M022219_140_1
0,0.833,0.000258702679398264,0.0109302468192636,AMG,M022219_140_4
0,0.206,-0.000853300041385512,0.19325232636852,cd,M022219_146_3
1,0,0.00349582101386844,0.852541386463867,11ml,M022819_005_2
0,0.983,-2.6337024513929e-05,0.000355375485039278,11ml,M022819_014_3
