area,region,color,n_total,n_pos,n_neg,n_ramp,n_nonramp,pct_ramp,chi2_stat,chi2_p_raw,odds_ratio,or_ci_lo,or_ci_hi,chi2_p_fdr,sig_fdr
24c,MFC,#993399,512,33,35,68,444,13.28125,8.35983740640728,0.003836048897959632,0.6794478151621008,0.5247515543771355,0.8797483869800374,0.006491775058085531,True
6DR,PMC,#E67F14,977,60,71,131,846,13.408393039918117,15.889063882450008,6.716570407183653e-05,0.6803658427357759,0.5635196694666942,0.8214401467115449,0.0002462742482634006,True
6DC,PMC,#E67F14,1575,140,120,260,1315,16.50793650793651,3.3597133571231814,0.0668096965344036,0.8757755381030656,0.7618798605670576,1.0066978179064328,0.07735859598720418,False
6VaVb,PMC,#E67F14,355,35,39,74,281,20.845070422535212,1.482580798099072,0.22337116866208917,1.185322649899206,0.914675854935596,1.5360521181167548,0.2457082855282981,False
8B,dlPFC,#339EE5,631,51,97,148,483,23.454833597464344,11.624305007764692,0.0006509555912767029,1.3932386454125585,1.153829646747211,1.6823228008946225,0.001591224778676385,True
8A,dlPFC,#339EE5,173,20,28,48,125,27.745664739884393,9.969547198420068,0.0015915062742452024,1.7334486486486487,1.2397678572447925,2.4237152140560125,0.002917761502782871,True
46d,dlPFC,#339EE5,303,13,29,42,261,13.861386138613861,3.6681893384758024,0.055460403262024616,0.7175731082536951,0.516765776787719,0.9964111185721739,0.06929936585554229,False
46df,dlPFC,#339EE5,314,7,18,25,289,7.961783439490445,21.963599352989565,2.778709039752414e-06,0.3827339932048622,0.25386669079047636,0.5770166582249189,1.5282899718638276e-05,True
46v,dlPFC,#339EE5,1197,52,123,175,1022,14.619883040935672,11.057956220391466,0.0008830743164075505,0.7534125690854847,0.6385236498571393,0.8889733361998253,0.001766148632815101,True
44,IFG,#4DB366,224,45,17,62,162,27.678571428571427,12.945383732303917,0.00032071135213784796,1.731056129675727,1.2882974221951964,2.325980998224713,0.0008819562183790819,True
45,IFG,#4DB366,871,174,86,260,611,29.850746268656717,82.37935686961923,0.0,1.9938678807024064,1.7146607078457152,2.318539818114512,0.0,True
12r,vlPFC,#1A66B3,572,26,33,59,513,10.314685314685315,24.387777708857783,7.876684040564186e-07,0.5059804856703002,0.3853310780694701,0.6644059263576879,5.776234963080403e-06,True
12m,vlPFC,#1A66B3,458,68,34,102,356,22.270742358078603,4.869112981443115,0.02734155080710221,1.2946499686816118,1.0350823212572093,1.6193094085226838,0.03759463235976554,True
12o,vlPFC,#1A66B3,1222,117,115,232,990,18.985270049099835,0.4443450474953806,0.505032707176409,1.0549675428637966,0.9091433273665885,1.2241815817092891,0.529081883708619,False
12l,vlPFC,#1A66B3,868,165,62,227,641,26.152073732718893,37.949213838391366,7.261031775840365e-10,1.6358171478962718,1.3983716480246995,1.9135812322363595,7.987134953424402e-09,True
AI,AI,#B3B34C,907,52,75,127,780,14.002205071664829,11.238824411049128,0.0008010387691806953,0.7181396238841571,0.5927694188028474,0.8700255158810857,0.0017622852921975296,True
13l,OFC,#CC4C4C,837,59,53,112,725,13.381123058542414,13.596418229135733,0.00022661749576935453,0.6807696704134121,0.5556737982785358,0.8340277076056754,0.0007122264152751143,True
13m,OFC,#CC4C4C,737,53,58,111,626,15.061058344640434,4.994506296239045,0.025427906626281915,0.7871815175112296,0.6407362313537888,0.9670980212903455,0.03729426305188014,True
11ml,OFC,#CC4C4C,1263,169,119,288,975,22.802850356294538,18.802442127016132,1.449813650633569e-05,1.3587692307692307,1.1838178836518995,1.559575884079224,6.379180062787704e-05,True
cd,Striatum,#808080,1098,79,118,197,901,17.941712204007285,0.048748426432752325,0.8252555935029257,0.9789675963819007,0.8346492991316741,1.1482398125330031,0.8252555935029257,False
pu,Striatum,#808080,776,41,80,121,655,15.592783505154639,3.6313888824912937,0.0566994811545346,0.821091653291803,0.6735311089959329,1.0009804953337909,0.06929936585554229,False
AMG,AMG,#4C4C4C,625,61,78,139,486,22.24,6.709075822875197,0.009592342531157039,1.2960589069763773,1.0687782352031607,1.5716718726345507,0.015073681120389633,True
