neuron_i,neuron_label,area,ramp_type,onset_ms
2,M021519_005_2,11ml,Positive,654.0
8,M021519_025_4,11ml,Negative,615.0
12,M021519_036_2,12o,Positive,148.0
20,M021519_066_1,45,Negative,247.0
22,M021519_066_7,45,Negative,504.0
23,M021519_069_1,12o,Negative,411.0
25,M021519_091_2,AI,Positive,542.0
37,M021519_128_1,AMG,Positive,638.0
45,M022219_025_3,11ml,Negative,492.0
49,M022219_060_3,13l,Positive,0.0
63,M022219_119_2,AMG,Positive,370.0
69,M022819_005_2,11ml,Positive,610.0
77,M022819_077_3,45,Negative,488.0
83,M022819_078_7,AI,Positive,476.0
98,M030118_005_2,11ml,Positive,591.0
107,M030118_016_4,46d,Negative,579.0
108,M030118_017_2,12l,Positive,0.0
123,M030118_042_3,46df,Negative,462.0
127,M030118_051_1,46df,Negative,571.0
146,M030118_090_2,8A,Negative,0.0
166,M030118_125_2,6DR,Positive,0.0
169,M030118_128_6,6DC,Positive,684.0
175,M030118_140_2,6DC,Positive,255.0
177,M030118_142_2,6DC,Negative,757.0
186,M030118_155_2,6DC,Negative,0.0
190,M030119_005_3,11ml,Positive,541.0
202,M030119_119_3,AMG,Positive,0.0
203,M030119_129_2,AMG,Positive,191.0
232,M030218_094_2,46d,Positive,184.0
239,M030218_108_2,6DR,Positive,517.0
245,M030218_128_6,6DC,Positive,561.0
255,M030518_005_2,11ml,Positive,419.0
320,M030618_068_3,46v,Negative,0.0
326,M030618_097_2,6DR,Positive,193.0
332,M030618_128_2,6DC,Positive,68.0
336,M030618_140_2,6DC,Negative,0.0
343,M030618_150_2,6DC,Negative,0.0
345,M030618_152_3,6DC,Negative,584.0
359,M030718_017_3,12l,Positive,2.0
366,M030718_029_2,12o,Positive,583.0
383,M030718_078_2,8A,Negative,0.0
402,M030718_142_2,6DC,Positive,435.0
421,M030818_018_3,12l,Positive,0.0
426,M030818_028_2,45,Positive,536.0
427,M030818_032_1,46v,Positive,450.0
439,M030818_078_2,8A,Negative,470.0
448,M030818_128_2,6DC,Positive,210.0
449,M030818_128_3,6DC,Positive,617.0
453,M030818_135_3,6DR,Negative,267.0
455,M030818_140_1,6DC,Negative,358.0
457,M030818_142_1,6DC,Negative,0.0
476,M030918_018_2,12l,Positive,235.0
478,M030918_023_2,46v,Negative,637.0
491,M030918_045_2,46v,Positive,27.0
497,M030918_055_2,46v,Positive,360.0
500,M030918_072_2,8B,Negative,0.0
509,M030918_100_2,6DR,Negative,402.0
516,M030918_128_2,6DC,Positive,609.0
517,M030918_128_4,6DC,Positive,128.0
523,M030918_140_2,6DC,Negative,32.0
525,M030918_142_2,6DC,Negative,0.0
527,M030918_150_2,6DC,Negative,103.0
538,M031218_005_2,11ml,Positive,611.0
564,M031218_083_2,8A,Positive,704.0
569,M031218_109_2,8B,Negative,506.0
571,M031218_117_1,6DC,Positive,0.0
573,M031218_125_2,6DR,Negative,638.0
574,M031218_128_2,6DC,Positive,618.0
585,M031218_140_2,6DC,Negative,644.0
587,M031218_142_1,6DC,Negative,546.0
606,M031318_010_2,12r,Negative,603.0
643,M031318_110_2,6DR,Negative,701.0
645,M031318_117_2,6DC,Positive,654.0
649,M031318_128_2,6DC,Positive,539.0
662,M031318_149_1,6DC,Positive,552.0
671,M032618_006_3,11ml,Positive,340.0
682,M032618_032_2,46v,Negative,456.0
720,M032618_117_2,6DC,Negative,0.0
722,M032618_117_4,6DC,Negative,446.0
739,M032618_147_2,6DC,Positive,0.0
746,M032718_006_2,11ml,Positive,421.0
747,M032718_006_3,11ml,Positive,703.0
770,M032718_067_3,8A,Negative,0.0
788,M032718_117_3,6DC,Negative,0.0
791,M032718_123_2,6DR,Negative,226.0
793,M032718_128_2,6DC,Positive,547.0
799,M032718_140_2,6DC,Positive,0.0
812,M032818_006_2,11ml,Positive,577.0
