neuron_i,neuron_label,area,ramp_type,condition,slope,mean_fr
2,M021519_005_2,11ml,Positive,low,0.002615097558908481,-0.3622418813091298
2,M021519_005_2,11ml,Positive,mid,0.002863066156418709,0.41439013196986024
2,M021519_005_2,11ml,Positive,high,0.0023238511351363652,0.1288647951764332
12,M021519_036_2,12o,Negative,low,0.003368048210414989,1.131581351838672
12,M021519_036_2,12o,Negative,mid,-0.005065360628558307,0.39580464422681094
12,M021519_036_2,12o,Negative,high,-0.0016925848201162239,0.38563121303910847
16,M021519_054_3,13m,Positive,low,0.010427965336524755,2.7771116601359007
16,M021519_054_3,13m,Positive,mid,0.0012465908505721155,0.1726089008043043
16,M021519_054_3,13m,Positive,high,0.0012750033951537002,0.14579230476017366
24,M021519_079_3,AI,Positive,low,0.007207062241989845,0.32596947444903474
24,M021519_079_3,AI,Positive,mid,0.001459382843307198,-0.45074628853547494
24,M021519_079_3,AI,Positive,high,0.0013867996430467352,-0.4719735333733199
30,M021519_105_3,AMG,Negative,low,-0.002362995695190402,-0.7994576492741977
30,M021519_105_3,AMG,Negative,mid,-0.0016426357391515916,0.6393661351545467
30,M021519_105_3,AMG,Negative,high,-0.00172129623170112,0.12943682496043887
37,M021519_128_1,AMG,Positive,low,0.0028331186941617293,1.100950368739333
37,M021519_128_1,AMG,Positive,mid,0.0023340748502639354,0.2281136022280534
37,M021519_128_1,AMG,Positive,high,0.001908829167669171,0.02117866605507464
40,M021519_139_3,pu,Negative,low,0.0018525477946279888,-0.027439027063908078
40,M021519_139_3,pu,Negative,mid,-0.0011966526412624918,-0.30410053532186293
40,M021519_139_3,pu,Negative,high,-0.0025737168796482225,-0.3048330789616722
47,M022219_032_3,11ml,Positive,low,-0.0014383224121319634,1.4818563432852658
47,M022219_032_3,11ml,Positive,mid,0.0029517465200789633,0.36030843361868164
47,M022219_032_3,11ml,Positive,high,0.0021258912070045957,0.38318057499048047
48,M022219_054_3,13m,Positive,low,-3.3855371646571774e-05,-0.2674507444907296
48,M022219_054_3,13m,Positive,mid,0.0016978434927208245,0.6441753937182142
48,M022219_054_3,13m,Positive,high,0.0009708549983176784,-0.0641615502200707
63,M022219_119_2,AMG,Positive,low,0.0016976107423484882,1.176974586423443
63,M022219_119_2,AMG,Positive,mid,0.003761069549832679,1.3968583936624837
63,M022219_119_2,AMG,Positive,high,0.0014058361794267058,1.080621381666815
64,M022219_123_2,cd,Negative,low,-0.0010852322607708552,-0.8522969957465498
64,M022219_123_2,cd,Negative,mid,0.0001185475004936238,0.5071336782598224
64,M022219_123_2,cd,Negative,high,-0.0031092614246125442,-0.8072264875035838
69,M022819_005_2,11ml,Positive,low,0.001478730427971587,0.7180146821720306
69,M022819_005_2,11ml,Positive,mid,-6.255290950470199e-05,0.2785308083327501
69,M022819_005_2,11ml,Positive,high,0.00205853080381162,0.3312726990208555
71,M022819_018_3,12m,Negative,low,-0.0009089240388494516,-0.31538572765967365
71,M022819_018_3,12m,Negative,mid,-0.0012885177381174702,-0.5480920788142427
71,M022819_018_3,12m,Negative,high,-0.0005992681094265978,-0.6054631310473266
72,M022819_019_2,12m,Negative,low,0.002451850258206959,0.2553156282754302
72,M022819_019_2,12m,Negative,mid,-0.003147175487394326,0.22099557101181067
72,M022819_019_2,12m,Negative,high,-0.0010677526225493254,-0.3666252461423426
79,M022819_077_5,45,Negative,low,-0.0012138855444986157,-0.360361444359388
79,M022819_077_5,45,Negative,mid,-0.00014434125798572816,-0.59588727151693
79,M022819_077_5,45,Negative,high,-0.00032636608288020967,-0.621356936937164
85,M022819_104_3,AMG,Positive,low,0.0018149854470074591,0.02247078345833616
85,M022819_104_3,AMG,Positive,mid,0.0021635934247747927,0.08985307599695247
85,M022819_104_3,AMG,Positive,high,0.0021787543314519655,0.8192782211748917
86,M022819_117_3,pu,Positive,low,-0.001284512168483897,-0.27929432609563265
86,M022819_117_3,pu,Positive,mid,0.0019389295979061736,0.33961534239146424
86,M022819_117_3,pu,Positive,high,0.0010830623420196336,0.030700837385169728
91,M022819_139_3,pu,Negative,low,-0.00460720708033928,0.08561666293678721
91,M022819_139_3,pu,Negative,mid,-0.002687347918507837,-0.26335421314280166
91,M022819_139_3,pu,Negative,high,-0.0009921355282387833,-0.11427408397606824
98,M030118_005_2,11ml,Positive,low,0.0033666576712284998,0.9589854959365967
98,M030118_005_2,11ml,Positive,mid,0.000301939152846863,0.7870689645377043
98,M030118_005_2,11ml,Positive,high,0.0006506988387351105,1.2362814623980276
103,M030118_011_1,46v,Positive,low,-0.0003900989560989848,0.18211886530955898
103,M030118_011_1,46v,Positive,mid,0.002188955265599382,0.5114786157294636
103,M030118_011_1,46v,Positive,high,0.0014516277718287262,0.6477548416390916
114,M030118_026_2,12l,Positive,low,-0.0010901771969975245,-0.5872000384790678
114,M030118_026_2,12l,Positive,mid,0.0015723951003009035,1.4144973350245624
114,M030118_026_2,12l,Positive,high,0.0018175854522069796,1.3335013089580663
117,M030118_035_1,45,Negative,low,0.002491132649399405,0.46673587164508423
117,M030118_035_1,45,Negative,mid,0.0005105776303203641,0.6884166430537545
117,M030118_035_1,45,Negative,high,-0.0019636439598657027,0.6679961850875198
123,M030118_042_3,46df,Positive,low,0.007483580978797062,0.8774596526041106
123,M030118_042_3,46df,Positive,mid,0.0003570997760376567,-0.07980473407586035
123,M030118_042_3,46df,Positive,high,0.001603738003266801,0.17419933253328182
146,M030118_090_2,8A,Positive,low,0.0017610940736058846,-0.18760249519506825
146,M030118_090_2,8A,Positive,mid,4.2194673589402534e-05,-0.5399182821103308
146,M030118_090_2,8A,Positive,high,-2.9300025702547165e-06,-0.4097797760302929
160,M030118_115_2,6DC,Negative,low,-0.0019660184722543293,1.1531188861961275
160,M030118_115_2,6DC,Negative,mid,-0.003696899640065787,0.612098378355984
160,M030118_115_2,6DC,Negative,high,-0.004270289910495715,0.7616877695638532
166,M030118_125_2,6DR,Negative,low,0.0010539646608036175,-0.7173086147632964
166,M030118_125_2,6DR,Negative,mid,-0.0032740817407317458,-0.8532312270794328
166,M030118_125_2,6DR,Negative,high,-0.0027985698664438237,-0.17604046882581145
172,M030118_129_2,6DC,Negative,low,0.0013805834877888953,-0.3873105042686875
172,M030118_129_2,6DC,Negative,mid,-0.0018102858566061064,-0.9611007097902043
172,M030118_129_2,6DC,Negative,high,-0.001169320181614374,-0.8859084221765324
179,M030118_150_3,6DC,Positive,low,0.002277228180537711,-0.06506767116857773
179,M030118_150_3,6DC,Positive,mid,0.0016635347827305012,0.2588371438079213
179,M030118_150_3,6DC,Positive,high,0.0014763290288021306,0.7817087464294894
182,M030118_153_5,6DC,Negative,low,-0.0008874958563046323,-0.4303605926008864
182,M030118_153_5,6DC,Negative,mid,0.001961559601227134,-0.4450761004290644
