flag,pval,slope,r2,area,neuron_label
1,0,-0.0016909464674475,0.568507645175586,12r,M021519_003_2
0,0.97,0.000106198431885795,0.00129327433677262,11ml,M021519_004_3
1,0,0.00198603005413879,0.829157931993429,11ml,M021519_005_2
0,0.465,0.000516834480884495,0.0444062107751308,11ml,M021519_006_3
0,0.197,0.000697350598862916,0.335121381750259,46v,M021519_011_1
0,0.493,-0.000119562756719774,0.0103328438215988,11ml,M021519_014_2
0,0.011,0.00323019473976739,0.794687224297701,11ml,M021519_016_3
1,0,0.000984320942019745,0.576495444119078,11ml,M021519_024_2
0,0.407,0.00040126369173776,0.234935299883987,11ml,M021519_025_4
1,0,-0.00119740982289727,0.755260694338408,11ml,M021519_032_3
0,0.337,0.00133352043570031,0.308992338197917,11ml,M021519_032_5
0,0.438,0.00050330177286886,0.0937072945426526,12o,M021519_035_3
1,0,-0.00273158463218634,0.919591445981631,12o,M021519_036_2
1,0,0.00105033699010994,0.348735524053397,13m,M021519_044_3
0,0.188,-0.000612726831325925,0.203782757782451,12o,M021519_045_1
0,0.116,0.00196775259534008,0.465852462256605,13l,M021519_049_1
1,0,0.00307264862708895,0.923824230132417,13m,M021519_054_3
0,0.114,-0.000731168104026217,0.215905161388192,12o,M021519_055_3
1,0,0.00142907553184145,0.575327146122403,13l,M021519_060_2
0,0.188,-0.000925726250327438,0.147329808570204,13m,M021519_064_3
1,0,0.000366885842054505,0.298174943242647,45,M021519_066_1
1,0,0.000781925719130251,0.5820290654732,45,M021519_066_3
1,0,-0.000798408765637168,0.549464322421032,45,M021519_066_7
0,0.016,0.00176270201350873,0.567568003203498,12o,M021519_069_1
1,0,0.00165167757299796,0.878383773699923,AI,M021519_079_3
0,0.499,-0.000726091918807679,0.247484943068852,AI,M021519_091_2
1,0,0.00229799245786492,0.60702330622809,pu,M021519_099_1
1,0,0.00172398243550468,0.682573191979056,pu,M021519_099_5
1,0,0.00207679797085062,0.761927795963164,pu,M021519_099_7
0,0.034,-0.00179902071967524,0.646260264028634,pu,M021519_100_3
1,0,-0.00204335465516564,0.806616118439147,AMG,M021519_105_3
1,0,-0.00202306603789482,0.539494287665524,pu,M021519_112_3
0,0.047,-0.00215534645759939,0.446892373547224,cd,M021519_113_4
1,0,0.00168973660490175,0.576452576278836,AMG,M021519_116_1
0,0.086,-0.00019754070508459,0.442480973255463,AMG,M021519_118_3
1,0,-0.000984563713037368,0.565674455315812,cd,M021519_123_3
