flag,pval,slope,r2,area,neuron_label
1,0,-0.00619592403605125,0.694816827726571,12r,M021519_003_2
0,0.941,-0.000278446716950771,0.00254032799056481,11ml,M021519_004_3
1,0,0.007307868388721,0.88493386604066,11ml,M021519_005_2
1,0,0.00118122460459441,0.428955780847616,11ml,M021519_006_3
1,0,0.00149554743498875,0.600983093419614,46v,M021519_011_1
1,0,0.00371771826545435,0.600447730627837,11ml,M021519_014_2
1,0,0.00418017705098241,0.798024086684644,11ml,M021519_016_3
0,0.825,-0.000740119115185796,0.0322813946464442,11ml,M021519_024_2
1,0,-0.00404612092544497,0.869409328042127,11ml,M021519_025_4
0,0.59,0.000397934654610272,0.0287125880924806,11ml,M021519_032_3
0,0.157,-0.00193985377483806,0.329977647955046,11ml,M021519_032_5
0,0.649,-0.000424596510385598,0.0152605571899235,12o,M021519_035_3
0,0.085,-0.00087731799278689,0.508578425243895,12o,M021519_036_2
1,0,0.00146635086513656,0.453487698342003,13m,M021519_044_3
0,0.169,-0.00124615266452578,0.144259519820338,12o,M021519_045_1
1,0,-0.00264999052154539,0.822444714424467,13l,M021519_049_1
0,0.838,-0.00118227205674,0.0392471527627524,13m,M021519_054_3
0,0.908,0.000390552149134279,0.00459538551512506,12o,M021519_055_3
0,0.157,-0.000212236818492485,0.0688047471386802,13l,M021519_060_2
0,0.128,0.00209033691400644,0.394024673262782,13m,M021519_064_3
1,0,-0.00136646262617904,0.733327332211573,45,M021519_066_1
0,0.267,0.000683758770257845,0.205264697264094,45,M021519_066_3
0,0.299,-0.000669519486502557,0.301007333387778,45,M021519_066_7
0,0.097,-0.000606405080484696,0.130102826537292,12o,M021519_069_1
1,0,-0.00493114228626759,0.818551573979265,AI,M021519_079_3
1,0,0.0018710621758301,0.831287675048076,AI,M021519_091_2
0,0.664,0.000575201023811318,0.00741318880418118,pu,M021519_099_1
0,0.419,-0.00149761941421301,0.187359960849452,pu,M021519_099_5
0,0.381,0.00315864630077947,0.230680052992044,pu,M021519_099_7
