area,region,color,n_total,n_pos,n_neg,n_ramp,n_nonramp,pct_ramp,chi2_stat,chi2_p_raw,odds_ratio,or_ci_lo,or_ci_hi,chi2_p_fdr,sig_fdr
24c,MFC,#993399,512,40,85,125,387,24.4140625,6.2657170404511335,0.012309634140472592,1.3065694085558426,1.0640125192743672,1.604420613902348,0.027081195109039703,True
6DR,PMC,#E67F14,977,75,83,158,819,16.17195496417605,9.093730512837732,0.0025648717690823775,0.7620114778009515,0.6398310964544831,0.9075230877617991,0.006269686546645812,True
6DC,PMC,#E67F14,1575,101,225,326,1249,20.6984126984127,0.5386404245908322,0.4629967253385713,1.051512730238117,0.9248452209640852,1.1955287185246282,0.5361014714446615,False
6VaVb,PMC,#E67F14,355,56,60,116,239,32.67605633802817,35.88644675524183,2.09158601549575e-09,1.9803793742419034,1.5811141645780995,2.480467605556657,2.300744617045325e-08,True
8B,dlPFC,#339EE5,631,67,42,109,522,17.27416798732171,2.797665169557214,0.09440168517048408,0.8315764646989738,0.6740420453658142,1.025929200404619,0.13845580491671,False
8A,dlPFC,#339EE5,173,22,25,47,126,27.167630057803468,5.232159963862638,0.02217298084228414,1.502635722598754,1.0725327888915357,2.1052168644311915,0.04065046487752092,True
46d,dlPFC,#339EE5,303,13,18,31,272,10.231023102310232,17.683668268270704,2.608567013351326e-05,0.45175956648753923,0.31094782726262366,0.6563374560602402,8.19835347053274e-05,True
46df,dlPFC,#339EE5,314,10,5,15,299,4.777070063694268,45.238983431721515,1.743982736002181e-11,0.19747031491997935,0.11739739532272604,0.33215835127687177,3.836762019204798e-10,True
46v,dlPFC,#339EE5,1197,130,47,177,1020,14.786967418546366,21.298388608855095,3.930617676006776e-06,0.6784131239145209,0.5755830651406438,0.7996141557552571,1.7294717774429812e-05,True
44,IFG,#4DB366,224,25,27,52,172,23.214285714285715,1.3026031072131994,0.2537382830687228,1.2154589094666446,0.8891979505608597,1.6614302357197468,0.34889013921949386,False
45,IFG,#4DB366,871,100,85,185,686,21.23995407577497,0.8550751635641465,0.35512055203621795,1.08600583090379,0.9189244095573913,1.2834664663278506,0.43403623026648863,False
12r,vlPFC,#1A66B3,572,77,41,118,454,20.62937062937063,0.12403725120342192,0.7246963560867568,1.0435769537618371,0.8491060477933247,1.2825875651846903,0.7592057063766023,False
12m,vlPFC,#1A66B3,458,99,32,131,327,28.602620087336245,21.451024291966597,3.6298206949059164e-06,1.6312063939712218,1.3270452776414314,2.0050817741966727,1.7294717774429812e-05,True
12o,vlPFC,#1A66B3,1222,167,90,257,965,21.031096563011456,0.8704353878369173,0.35083480309285,1.0734430359007967,0.9302190960126285,1.2387188741481996,0.43403623026648863,False
12l,vlPFC,#1A66B3,868,142,74,216,652,24.88479262672811,13.563719885675592,0.00023059963030092057,1.3512085510745666,1.152754390388576,1.5838278853846675,0.0006341489833275316,True
AI,AI,#B3B34C,907,75,85,160,747,17.640573318632857,3.089582920492092,0.07879500224860414,0.8514962071928527,0.7146672801551528,1.0145221573686813,0.12382071781923508,False
13l,OFC,#CC4C4C,837,76,41,117,720,13.978494623655914,19.37532839628673,1.073854430655441e-05,0.6386413727959698,0.5232853326452825,0.7794271644972653,3.937466245736617e-05,True
13m,OFC,#CC4C4C,737,92,49,141,596,19.131614654002714,0.28194842963501004,0.5954269815950104,0.9461586124075904,0.7842711465276296,1.1414625207068212,0.6549696797545115,False
11ml,OFC,#CC4C4C,1263,178,106,284,979,22.486144101346003,5.277169444742926,0.021606846798780444,1.1783960342330178,1.0265075728355302,1.3527588594990243,0.04065046487752092,True
cd,Striatum,#808080,1098,93,99,192,906,17.48633879781421,4.353407239366813,0.03693498179282706,0.8403014622499472,0.7156116739601482,0.9867174798195394,0.06250535380324579,False
pu,Striatum,#808080,776,85,69,154,622,19.84536082474227,0.0014768476614944407,0.9693450209233431,0.9922466962157445,0.8282178830459223,1.1887614676106544,0.9693450209233432,False
AMG,AMG,#4C4C4C,625,110,72,182,443,29.12,33.492951479973314,7.152271774835128e-09,1.6849394089131045,1.4116623767125647,2.011118847213216,5.244999301545761e-08,True
