session,monkey,nbUnit,nbArea,session_length,nbTr_1FC,nbTr_2AFC,J1,J2
M030118,M,96,11,96,94,304,A,C
M030218,M,46,10,92,103,381,A,C
M030518,M,46,11,65,98,253,C,P
M030618,M,49,11,65,98,299,P,O
M030718,M,58,12,69,98,305,C,A
M030818,M,54,11,120,98,309,O,C
M030918,M,73,11,85,101,300,A,C
M031218,M,68,11,79,100,301,O,A
M031318,M,67,11,67,100,300,C,A
M032618,M,76,14,70,100,301,A,C
M032718,M,65,12,57,101,211,C,A
M032818,M,82,10,73,99,343,O,C
M033018,M,72,10,95,101,326,O,A
M040218,M,82,10,68,106,234,C,A
M040418,M,76,11,66,100,200,C,A
M041018,M,66,12,38,100,100,A,C
M041118,M,71,12,57,100,165,C,A
M041618,M,75,13,61,100,177,C,A
M041718,M,63,12,57,100,150,A,C
M041818,M,65,14,51,100,115,C,A
M041918,M,59,13,54,100,158,C,A
M042018,M,63,11,65,105,200,C,A
M042318,M,60,13,54,105,148,C,A
M042418,M,68,13,42,105,100,O,C
M042518,M,77,15,52,105,150,A,O
M042618,M,68,13,45,105,100,A,C
M042718,M,59,11,39,105,100,A,C
M050118,M,67,13,64,105,279,A,O
M050218,M,68,15,81,110,319,C,O
M050318,M,55,14,68,110,305,C,P
M050418,M,53,13,73,115,366,A,C
M050718,M,42,13,68,115,318,C,A
M050818,M,47,17,87,115,471,C,P
M050918,M,53,14,85,115,446,A,P
M051018,M,51,16,80,115,429,P,C
M051118,M,56,16,67,115,298,C,A
M051418,M,53,18,97,115,530,A,C
M051518,M,63,15,73,115,388,A,P
M051618,M,66,17,97,115,400,P,C
M051718,M,61,16,91,115,400,A,C
M051818,M,58,16,75,115,400,C,A
M052118,M,71,15,74,115,382,C,A
M052218,M,69,16,82,115,400,A,C
M052318,M,84,17,106,115,492,O,A
M052418,M,67,17,73,115,297,C,O
M052518,M,81,16,76,115,328,C,A
M052918,M,56,15,70,115,297,A,C
M053018,M,54,13,88,115,396,C,A
M053118,M,64,15,72,115,300,C,A
M060118,M,65,16,96,115,432,A,C
M060418,M,68,18,65,115,256,C,A
M060518,M,66,18,88,115,398,A,C
M060618,M,72,17,84,115,361,A,O
M060718,M,63,17,109,115,507,A,C
M060818,M,73,16,87,115,384,C,O
M061118,M,55,19,81,115,305,O,C
M061218,M,52,19,95,115,441,C,A
M061318,M,53,17,87,115,388,A,C
M061518,M,53,16,96,115,444,A,C
M061818,M,54,17,86,115,388,C,A
M061918,M,48,16,76,115,337,A,C
M062018,M,47,16,75,115,324,A,O
M062118,M,48,14,107,115,518,C,A
M062218,M,53,17,70,115,268,A,C
M062618,M,53,16,109,115,504,C,A
M062718,M,69,18,99,115,460,O,A
M062818,M,70,17,89,115,400,A,C
M062918,M,62,15,92,115,394,C,A
M070218,M,62,16,90,115,403,A,C
M070318,M,63,17,53,115,200,C,A
M070418,M,65,17,100,115,479,C,A
M070518,M,67,18,78,115,336,A,C
M070618,M,66,17,76,115,326,C,A
M070918,M,64,18,103,115,484,C,A
M071018,M,60,19,93,115,416,A,C
M071118,M,51,18,66,115,272,C,A
M071218,M,60,17,77,115,331,A,C
M071318,M,72,18,80,115,357,A,O
M071618,M,55,14,97,115,382,O,A
M071718,M,55,16,85,115,352,C,A
M071818,M,52,15,84,115,336,C,O
M071918,M,56,16,96,115,383,A,C
M072018,M,52,17,88,115,336,A,C
M072318,M,44,15,84,115,348,P,A
M072418,M,56,16,90,115,368,C,A
M072518,M,52,16,91,115,420,A,C
M072718,M,51,15,85,115,372,O,A
M073018,M,49,14,99,115,459,A,C
M073118,M,46,15,84,115,362,A,O
M080118,M,48,14,62,115,229,C,P
M080218,M,48,16,60,115,230,C,A
M080318,M,69,17,88,115,378,A,C
M080618,M,49,13,82,115,338,O,A
M080718,M,57,15,115,115,560,A,C
M080818,M,63,17,74,115,325,C,A
M080918,M,68,17,84,115,382,A,C
M081018,M,59,17,70,115,295,A,P
M081318,M,46,15,90,115,377,A,O
M081418,M,60,16,85,115,364,C,A
M081518,M,49,15,75,115,331,C,A
M081618,M,41,13,75,115,317,A,C
M081718,M,41,13,97,115,445,A,C
M082018,M,47,12,83,115,370,C,A
M082118,M,41,13,87,115,389,A,C
M082218,M,43,11,83,115,376,C,A
M082318,M,49,12,85,115,372,C,A
M082418,M,60,14,86,115,388,A,C
M082718,M,52,10,85,115,386,C,A
M082818,M,54,14,71,115,304,A,O
M082918,M,58,12,87,115,404,A,C
M083018,M,60,11,82,115,379,O,C
M083118,M,68,11,75,115,319,C,A
M091718,M,41,11,76,115,288,A,C
M091818,M,41,11,88,115,376,C,A
M091918,M,38,10,106,115,504,A,C
M092018,M,38,11,75,115,314,C,A
M092118,M,44,11,77,115,337,C,A
M092518,M,44,11,102,115,456,C,O
M092618,M,55,10,83,115,338,A,C
M092718,M,47,10,111,115,528,A,C
M092818,M,42,11,81,115,356,C,A
M100118,M,44,11,78,115,324,O,A
M100218,M,47,10,70,115,285,C,O
M100318,M,42,11,90,115,388,C,O
M100418,M,39,11,80,115,361,C,A
M100518,M,51,10,62,115,239,A,C
M100818,M,42,11,71,115,289,C,A
M100918,M,47,11,69,115,283,C,A
M101018,M,52,11,86,115,380,A,C
M101818,M,25,8,76,115,303,A,C
M101918,M,42,12,97,115,437,C,P
M102218,M,38,10,68,115,272,C,A
M102318,M,59,13,71,115,294,A,C
M102418,M,41,11,88,115,392,C,A
M102518,M,57,12,79,115,354,A,C
M103018,M,62,10,97,115,435,A,C
M110118,M,43,11,97,115,456,A,O
M110618,M,32,11,97,115,436,C,A
M110718,M,41,13,75,115,333,A,C
M110918,M,42,12,79,115,343,A,C
M111218,M,37,13,92,115,408,A,C
M111318,M,43,12,89,115,392,C,A
M111518,M,46,11,79,115,316,O,C
M021519,M,43,11,75,115,306,A,C
M022219,M,26,10,67,115,272,A,C
M022819,M,25,9,82,115,363,A,C
M030119,M,17,9,68,115,272,A,C
X120219,X,23,6,301,300,1480,A,C
X120319,X,15,4,300,300,1440,P,C
X120419,X,28,7,298,300,1440,P,A
X120519,X,28,5,303,300,1456,C,A
X120619,X,43,8,317,300,1441,A,C
X120919,X,37,8,311,300,1440,P,A
X121019,X,55,10,300,300,1280,P,C
X121119,X,64,11,311,300,1360,O,C
X121219,X,63,11,297,300,1240,C,A
X121319,X,38,9,292,300,1240,A,C
X121619,X,35,8,305,300,1329,C,A
X121719,X,39,10,306,300,1320,A,C
X121819,X,43,10,254,300,1056,A,C
X121919,X,33,9,313,300,1333,P,A
X122019,X,38,11,281,300,1240,A,C
X122319,X,33,10,309,300,1360,C,A
X122719,X,25,7,277,300,1225,A,P
X123019,X,33,11,286,300,1360,P,C
X010220,X,37,11,280,300,1360,P,C
X010320,X,39,12,274,300,1265,A,P
X010620,X,55,13,284,300,1339,C,A
X010720,X,37,9,306,300,1463,A,C
X010820,X,34,12,300,300,1440,C,P
X010920,X,45,14,287,300,1360,P,C
X011320,X,39,13,292,300,1360,C,A
X011420,X,38,14,294,300,1360,A,C
X011520,X,27,12,305,300,1416,P,C
X011620,X,29,13,299,300,1360,A,C
X011720,X,28,10,305,300,1362,C,A
X012120,X,25,11,279,300,1280,A,C
X012220,X,44,13,302,300,1416,C,P
X012320,X,42,12,296,300,1376,P,A
X012420,X,48,13,287,300,1360,A,P
X012720,X,32,12,282,300,1360,C,A
X012820,X,33,12,285,300,1360,A,C
X012920,X,28,10,293,300,1324,C,A
X013120,X,30,12,269,300,1240,C,A
X020320,X,19,11,285,300,1376,C,P
X020420,X,36,10,284,300,1364,P,C
X020520,X,36,13,283,300,1360,A,C
X020620,X,31,12,288,300,1384,C,A
X020720,X,21,9,292,300,1364,A,P
X021020,X,26,11,277,300,1256,C,A
X021120,X,20,10,298,300,1400,A,C
X021220,X,37,12,281,300,1320,A,O
X021320,X,34,10,294,300,1372,O,A
X021420,X,36,13,273,300,1280,C,O
X021820,X,32,11,298,300,1280,A,C
X021920,X,39,14,352,300,1676,C,A
X022620,X,38,11,280,300,1384,A,C
X022720,X,32,12,288,300,1412,C,P
X030220,X,35,12,286,300,1440,A,P
X030320,X,27,9,287,300,1408,A,P
X030420,X,33,13,267,300,1292,A,O
X030520,X,37,12,281,300,1340,O,A
X030620,X,32,11,258,300,1240,C,P
X030920,X,24,9,269,300,1268,C,P
X031020,X,29,9,264,300,1280,A,P
X031120,X,40,11,262,300,1224,P,C
X031220,X,32,11,256,300,1197,A,C
X031320,X,28,11,257,300,1200,C,A
X031620,X,21,8,229,300,1004,P,A
X031720,X,28,10,219,300,1000,A,C
X091020,X,38,10,172,300,400,A,P
X091120,X,47,12,158,300,325,P,A
X091520,X,51,12,222,300,1001,A,P
X091620,X,62,13,242,300,1100,A,C
X091720,X,46,11,235,300,1000,C,A
X091820,X,56,11,218,300,1000,A,C
X092120,X,58,13,234,300,1100,C,A
X092320,X,54,11,231,300,1000,A,C
X092520,X,50,13,230,300,1020,C,A
X092820,X,50,13,227,300,1012,O,C
X092920,X,57,14,221,300,1020,O,A
X093020,X,45,12,225,300,1024,A,O
X100120,X,56,15,224,300,1000,O,C
X100220,X,44,15,218,300,1020,A,P
X100520,X,51,15,221,300,1020,C,P
X100620,X,56,14,216,300,1000,O,A
X100720,X,53,16,222,300,1020,A,P
X100820,X,47,15,218,300,1020,P,A
X100920,X,53,16,220,300,1020,A,O
X101220,X,49,13,222,300,1040,O,A
X101320,X,60,16,226,300,1052,A,C
X101420,X,53,13,223,300,1020,C,A
X101520,X,57,14,219,300,1020,C,A
X101620,X,55,15,219,300,1040,A,C
X101920,X,52,15,222,300,1060,C,A
X102020,X,50,17,231,300,1100,O,C
X102120,X,40,15,234,300,1100,A,O
X102220,X,53,14,233,300,1100,A,O
X102320,X,50,14,232,300,1080,C,A
X102620,X,45,16,221,300,1040,C,A
X102720,X,48,16,252,300,1200,A,C
X102820,X,48,14,239,300,1140,P,C
X102920,X,56,14,249,300,1200,P,A
X103020,X,63,17,242,300,1120,A,P
X110220,X,48,16,232,300,1080,A,C
X110320,X,46,16,232,300,1080,C,A
X110420,X,38,14,226,300,940,P,C
X110520,X,39,13,241,300,1100,C,P
X110620,X,47,17,219,300,1001,P,A
X110920,X,41,15,218,300,1000,A,O
X111020,X,38,15,219,300,1000,O,A
X111120,X,48,17,220,300,1000,A,C
X111220,X,57,15,226,300,1012,O,A
X111320,X,56,16,220,300,1000,A,O
X111620,X,48,15,220,300,1000,C,A
X111720,X,54,16,219,300,1001,A,C
X111820,X,42,13,221,300,1000,P,A
X111920,X,39,15,216,300,1000,C,P
X112020,X,51,15,219,300,1000,P,C
X112320,X,64,17,220,300,1020,C,A
X112420,X,50,16,224,300,1020,O,A
X112520,X,64,15,228,300,1000,A,O
X113020,X,54,14,221,300,1040,C,A
X120120,X,48,15,220,300,1020,A,C
X120220,X,60,17,218,300,1000,A,O
X120320,X,58,16,226,300,1032,C,A
X120420,X,38,15,234,300,1020,A,G
X120720,X,49,13,221,300,1008,G,C
X120820,X,46,16,223,300,1000,G,A
X120920,X,46,16,224,300,1016,P,G
X121020,X,52,16,223,300,1000,P,C
X121120,X,64,15,228,300,1004,A,C
X121420,X,55,15,222,300,1020,A,G
X121520,X,48,13,226,300,1000,A,P
X121620,X,45,13,228,300,1000,G,A
X121820,X,55,13,219,300,1004,C,A
X122120,X,47,13,223,300,1000,A,C
X122220,X,46,12,232,300,1001,A,P
X122320,X,53,11,219,300,1000,C,O
X010421,X,40,11,212,300,1000,A,P
X010521,X,46,12,225,300,1020,P,A
X010621,X,58,11,226,300,1040,A,C
X010721,X,50,12,227,300,1000,A,P
X010821,X,56,12,220,300,1000,A,C
X011121,X,48,11,236,300,1052,A,O
X011221,X,40,11,228,300,1040,C,O
X011321,X,54,12,226,300,1016,O,P
X011421,X,41,11,228,300,1024,A,C
X011521,X,43,11,230,300,1004,C,A
X012021,X,37,9,219,300,1000,C,A
X012121,X,37,10,219,300,1000,O,C
X012221,X,48,10,223,300,1000,P,A
X012521,X,37,10,225,300,1008,P,O
X012621,X,48,10,234,300,1040,O,A
X012721,X,58,10,218,300,1000,C,O
X012821,X,48,7,223,300,1008,A,C
X012921,X,58,9,223,300,1000,O,C
X020321,X,44,9,218,300,1000,A,G
X020421,X,34,8,233,300,1060,G,C
X020521,X,58,10,227,300,1000,A,C
X020821,X,44,8,226,300,1000,A,O
X020921,X,49,11,218,300,1020,A,G
X021021,X,47,11,228,300,1000,G,A
X021121,X,48,10,220,300,1000,A,O
X021221,X,45,9,222,300,1000,G,C
X021721,X,47,11,225,300,1040,A,G
X021821,X,46,11,223,300,1000,G,A
X021921,X,44,9,219,300,1000,A,G
X022321,X,26,9,225,300,1020,A,O
X022421,X,35,11,220,300,1000,O,A
X022521,X,47,10,230,300,1000,A,O
X022621,X,52,10,246,300,1000,A,G
X030121,X,39,8,222,300,1000,G,O
X030221,X,48,11,225,300,1060,C,G
X030321,X,51,11,248,300,1160,A,C
X030421,X,38,9,233,300,1000,A,C
X030521,X,41,9,236,300,1080,C,O
X030821,X,31,10,227,300,1000,A,O
X030921,X,34,10,224,300,1040,C,A
X031021,X,49,8,219,300,1000,G,C
X031121,X,53,9,220,300,1000,G,A
X031221,X,51,10,229,300,1000,C,A
X031521,X,29,10,224,300,1000,A,C
X031621,X,35,10,217,300,1000,C,G
X031721,X,41,9,218,300,1000,P,G
X031821,X,48,10,226,300,1020,O,P
X031921,X,45,10,216,300,1000,P,A
X032221,X,53,10,218,300,1000,A,G
X032321,X,44,10,217,300,1000,G,A
X032421,X,46,9,218,300,1001,G,P
X032521,X,36,9,222,300,1000,A,P
X032621,X,45,9,220,300,1000,O,G
X032921,X,46,10,124,300,488,A,G
X080421,X,36,10,226,300,1000,C,A
X081821,X,40,11,222,300,1000,C,G
X082321,X,50,11,214,300,1000,O,C
X082621,X,45,10,226,300,1000,A,G
X090221,X,34,8,227,300,1000,G,A
X090921,X,27,10,221,300,1000,C,A
X091521,X,26,7,223,300,1040,G,O
