ch,session,depth,loc_xyz_1,loc_xyz_2,loc_xyz_3,clust_id,firing_rate,isolation,noise_overlap,peak_amp,peak_noise,peak_snr,area,neuron_label
003,M021519,-6.59375,-14.58794,25.96808,45.88,2,15.47928,0.9253819,0.08578143,7.142161,1.59852,4.467984,12r,M021519_003_2
004,M021519,-8.21875,-13.51156,25.35484,45.8575,3,0.930663,0.9888366,0.04347826,10.31448,1.500104,6.875846,11ml,M021519_004_3
005,M021519,-10.5,-11.98175,24.062,45.7225,2,12.86531,1,0.001175088,15.90349,1.831914,8.68135,11ml,M021519_005_2
006,M021519,-12.0625,-10.6965,23.356,45.7225,3,0.9256123,0.9929495,0.002350176,13.8957,1.697696,8.185037,11ml,M021519_006_3
011,M021519,-7.96875,-15.97562,25.48638,44.415,1,11.74636,0.9603408,0.06580494,7.969231,1.706042,4.67118,46v,M021519_011_1
014,M021519,-12.21875,-11.0744,24.0892,44.435,2,3.646086,0.9891304,0.009988249,7.819096,2.044926,3.823658,11ml,M021519_014_2
016,M021519,-13.4375,-8.99958,23.84657,44.4155,3,1.708828,0.9941245,0.01175088,10.24363,2.306976,4.440285,11ml,M021519_016_3
024,M021519,-13.875,-10.15144,23.894,43.206,2,7.502304,0.993537,0.03819036,7.661216,1.409159,5.436729,11ml,M021519_024_2
025,M021519,-14.84375,-9.03,23.5774,43.215,4,4.692717,0.9867803,0.02291422,11.04201,2.827246,3.90557,11ml,M021519_025_4
032,M021519,-14.71875,-11.41786,23.25368,41.893,3,3.045214,0.9521152,0.02379553,6.539494,1.537824,4.252433,11ml,M021519_032_3
032,M021519,-14.71875,-11.41786,23.25368,41.893,5,5.533066,0.9908931,0.003231492,13.94466,1.48441,9.394082,11ml,M021519_032_5
035,M021519,-12.75,-20.33434,19.17308,40.233,3,2.647568,0.9829612,0.04465335,11.15938,1.49294,7.474767,12o,M021519_035_3
036,M021519,-13.46875,-18.8825,20.1605,40.3305,2,23.97577,0.9480023,0.1339601,5.202154,1.1471,4.535048,12o,M021519_036_2
044,M021519,-19.90625,-7.91199,19.73089,40.5075,3,4.714777,0.9720917,0.06962397,6.756994,1.366723,4.94394,13m,M021519_044_3
045,M021519,-15.96875,-21.13055,15.73462,38.8925,1,19.37875,0.9879553,0.03730905,8.186164,1.291367,6.339145,12o,M021519_045_1
049,M021519,-16.875,-14.91416,20.33958,39.19,1,1.275977,0.9891304,0.004406581,6.668946,3.921478,1.700621,13l,M021519_049_1
054,M021519,-20.625,-8.12184,19.48604,39.145,3,0.9101882,0.9950058,0.005581669,10.30837,1.45835,7.068513,13m,M021519_054_3
055,M021519,-16.21875,-21.20472,15.94528,37.819,3,0.05408926,0.9907359,0.0005146681,13.4829,3.276035,4.115614,12o,M021519_055_3
060,M021519,-17.25,-13.33292,21.00784,37.886,2,9.180464,0.9914806,0.05699177,7.51678,1.246156,6.031974,13l,M021519_060_2
064,M021519,-22.3125,-8.43187,18.32619,37.6015,3,0.12425,0.9980218,0.002350176,12.89813,2.59172,4.976668,13m,M021519_064_3
066,M021519,-15.4375,-21.34616,16.57104,36.428,1,2.546714,0.9979436,0.007050529,11.31215,1.719749,6.577791,45,M021519_066_1
066,M021519,-15.4375,-21.34616,16.57104,36.428,3,0.8337487,0.820632,0.0005875441,6.425394,1.121419,5.729702,45,M021519_066_3
066,M021519,-15.4375,-21.34616,16.57104,36.428,7,1.382078,0.9994125,0.0005875441,5.134526,1.216457,4.220884,45,M021519_066_7
